"student_id","date_registered","first_date_watched","first_date_purchased","days_diff_reg_watch","days_diff_watch_purch"
269559,"2022-04-04","2022-04-04","2023-05-16","0","407"
296911,"2022-10-30","2022-10-30","2022-10-30","0","0"
256838,"2021-12-13","2021-12-13","2022-01-21","0","39"
292620,"2022-09-30","2022-09-30","2023-01-17","0","109"
286418,"2022-08-16","2022-08-17","2022-08-23","1","6"
263690,"2022-02-14","2022-02-14","2022-02-15","0","1"
276504,"2022-06-04","2022-06-04","2023-06-06","0","367"
261449,"2022-01-24","2022-04-06","2022-12-16","72","254"
271851,"2022-04-25","2022-04-25","2022-04-25","0","0"
256422,"2021-12-09","2021-12-09","2021-12-12","0","3"
263786,"2022-02-15","2022-02-15","2022-02-20","0","5"
294776,"2022-10-15","2022-10-15","2022-11-28","0","44"
292086,"2022-09-26","2022-09-27","2022-09-27","1","0"
270324,"2022-04-10","2022-04-18","2022-04-10","8","-8"
296634,"2022-10-28","2022-10-29","2022-12-01","1","33"
275554,"2022-05-31","2022-06-01","2022-05-31","1","-1"
293557,"2022-10-06","2022-10-06","2022-12-02","0","57"
278099,"2022-06-17","2022-06-17","2023-03-31","0","287"
277238,"2022-06-09","2022-06-10","2022-06-09","1","-1"
278088,"2022-06-16","2022-06-21","2022-07-01","5","10"
266529,"2022-03-09","2022-03-09","2022-03-09","0","0"
288773,"2022-08-30","2022-08-30","2022-09-01","0","2"
272144,"2022-04-27","2022-07-23","2022-07-24","87","1"
255488,"2021-12-02","2021-12-04","2021-12-04","2","0"
261777,"2022-01-27","2022-01-28","2022-01-27","1","-1"
288484,"2022-08-28","2022-08-28","2022-08-29","0","1"
282402,"2022-07-23","2022-07-24","2022-07-25","1","1"
282705,"2022-07-26","2022-08-01","2022-07-26","6","-6"
274338,"2022-05-18","2022-06-03","2023-05-20","16","351"
282629,"2022-07-26","2022-09-09","2022-07-26","45","-45"
275575,"2022-05-31","2022-06-02","2022-06-01","2","-1"
296810,"2022-10-30","2022-10-30","2022-11-25","0","26"
288038,"2022-08-25","2022-08-25","2022-08-25","0","0"
280913,"2022-07-09","2022-10-16","2022-07-14","99","-94"
258325,"2021-12-27","2022-01-09","2022-01-28","13","19"
262198,"2022-02-01","2022-02-01","2022-02-01","0","0"
295570,"2022-10-21","2022-10-21","2023-07-29","0","281"
280839,"2022-07-08","2022-07-08","2022-08-06","0","29"
280613,"2022-07-07","2022-07-07","2022-07-13","0","6"
262634,"2022-02-04","2022-02-04","2022-02-04","0","0"
266136,"2022-03-07","2022-03-07","2022-03-07","0","0"
261690,"2022-01-26","2022-02-03","2022-01-26","8","-8"
282601,"2022-07-25","2022-07-25","2022-09-23","0","60"
282373,"2022-07-23","2022-07-23","2022-09-28","0","67"
273862,"2022-05-13","2022-05-13","2022-06-13","0","31"
291012,"2022-09-16","2022-09-17","2023-03-02","1","166"
261615,"2022-01-26","2022-01-26","2022-01-28","0","2"
288923,"2022-08-31","2022-09-01","2022-09-03","1","2"
282854,"2022-07-28","2022-07-28","2022-11-28","0","123"
273060,"2022-05-06","2022-05-06","2022-05-12","0","6"
284402,"2022-08-08","2022-08-08","2022-08-09","0","1"
